AP,TP,RH,GHI,DHI
0.174500003,35.8440361,9.629780769,59.43387222,27.11249924
0.116133332,35.69332123,9.710080147,33.03568649,27.67683983
0.067633331,35.57563782,9.742224693,25.06786346,23.63325119
0.044599991,35.41937637,9.785743713,19.31312752,18.49122429
0.029266657,35.26158905,9.865441322,14.83436203,14.56859016
0.013466667,35.07011795,9.957706451,11.34416676,11.1280241
0.001133333,34.86306,10.06866455,8.34931469,8.076313972
6.67E-05,34.58608627,10.2148819,6.149113655,6.001282692
0.000133333,34.3857193,10.33257675,4.337271214,4.087037563
0,34.27835083,10.38526249,2.93012476,2.815294027
0,34.22529602,10.40818119,1.657521009,1.598480225
0,33.98616791,10.55063629,2.041549921,1.915107965
0,33.63483429,10.73754787,2.816991806,2.67025423
0,33.28883362,10.93633461,2.938189507,2.887555361
0,33.30068207,10.9479332,1.840913177,1.753931284
0,32.9982872,11.12714386,2.44857645,2.315811872
0,32.69337845,11.31989384,2.724864244,2.5146451
0,32.37787247,11.51296902,2.775391102,2.561269283
0,32.19557953,11.64962769,2.518350124,2.370300055
0,32.05103683,11.76661015,2.206103802,1.98598361
0,31.71469498,11.98569489,2.70452857,2.483031034
0,31.42817497,12.1715641,2.775816202,2.636691093
0,31.05554008,12.39646721,2.883580685,2.772100449
0,30.80867767,12.57553482,2.416269779,2.190357447
0,30.68299866,12.69335461,1.769715548,1.568793535
0,30.62975311,12.75644493,1.763336062,1.529868841
0,30.26728439,13.02208042,2.562457561,2.353750706
0,29.53931618,13.57833481,3.298214674,3.122080564
0,28.87897301,14.38153934,3.758919239,3.487034321
0,28.54381371,14.84453773,3.761330128,3.362942696
0,28.1734314,15.29946613,3.568060875,3.231873512
0,27.95351028,15.01030254,2.704856157,2.477207661
0,27.7495327,15.14770699,2.563951254,2.309531212
0,27.38619232,15.81334496,2.771292925,2.609636307
0,27.21533585,17.14346886,2.927284718,2.79699111
0,27.00720406,17.93958092,2.884643793,2.593770504
0,26.79352951,18.270298,2.718116283,2.451467752
0,26.6405468,18.53088188,2.046370745,1.769159913
0,26.67495155,17.43813705,1.844195843,1.65743649
0,26.72776985,17.8265667,2.020809412,1.748374104
0,26.52573586,19.8156414,2.0069139,1.77430892
0,26.20917511,19.18553352,1.804439425,1.421726465
0,26.06248283,19.40475655,2.068691015,1.758050203
0,25.88114548,19.51995659,2.144908428,1.818548918
0,25.79214859,20.22439384,1.906762004,1.67394793
